filename,Q1,Q2,Q3,writer_name,year_of_publish,page_length,key_concepts
On the Dangers of Stochastic Parrots.pdf,"What do the authors mean by the term ""stochastic parrot,"" and why is it a central metaphor for large language models?

"," What is ""documentation debt,"" and what solution do the authors propose to avoid it?"," Beyond generating biased text, what is a specific risk associated with an LM's ability to memorize its training data?","Emily M. Bender, Timnit Gebru, Angelina McMillan-Major, Shmargaret Shmitchell",2021,14,Stochastic Parrots (Bender et al.); Documentation Debt (Bender et al.)
Encoding_Decoding.pdf,How does Stuart Hall's proposed model of the communication process differ from the traditional linear model?,"How does Hall critique traditional mass-media research that focuses on concepts like ""effects"" and ""uses""?","How does the text redefine the analytic distinction between ""denotation"" and ""connotation""?",Stuart Hall,1980,11,Encoding/Decoding Model (Hall); Dominant-Hegemonic Position (Hall)
The Ontology of the Photographic Image.pdf,"What is the ""mummy complex,"" and what role does André Bazin claim it played in the origins of the plastic arts?","Why does Bazin argue that the intervention of a human hand in painting ""cast a shadow of doubt over the image,"" whereas photography's mechanical nature grants it a unique power?",How does Bazin define cinema in relation to photography and time?,André Bazin,1967,8,Mummy Complex (Bazin); Objectivity in Time (Bazin)
The Medium is the Message.pdf,"Contrast the effects of ""machine technology"" and ""automation technology"" on human relationships.","What does McLuhan mean when he describes the ""content"" of a medium as being like ""the juicy piece of meat carried by the burglar to distract the watchdog of the mind""?","According to the text, what is the ""content"" of any given medium?",Marshall McLuhan,1964,11,The Medium is the Message (McLuhan); Extensions of Man (McLuhan)
From Additive to Expressive Form.pdf,"Explain the concept of an ""additive art form"" as it relates to early narrative film and contemporary digital media.","According to the text, what is the primary representational property of the computer, and which two essential properties of digital environments combine to create it?","According to the 2016 update, what two properties of digital media combine to create the experience of ""agency,"" and what two combine to create ""immersion""?",Janet H. Murray,2017,34,Additive Form (Murray); Procedurality (Murray)
Visual Pleasure and Narrative Cinema.pdf,"What political purpose does this analysis of film serve, according to the introduction?",Describe the twofold function of woman in the formation of the patriarchal unconscious.,"How do the conditions of a cinema screening promote an ""illusion of voyeuristic separation"" for the spectator?",Laura Mulvey,1975,15,The Male Gaze (Mulvey); Visual Pleasure (Mulvey)
The technology and the society.pdf,"According to Raymond Williams, what is the central difficulty masked by common statements like ""television has altered our world""?","The text argues that the development of broadcasting was driven by economic forces in capitalist democracies, rather than political ones. What was the major area of investment in early radio and television?","Why does Williams argue that the term ""mass communication"" is a misnomer for the way broadcasting developed in most capitalist societies?",Raymond Williams,1974,14,Mobile Privatization (Williams); Symptomatic Technology (Williams)
Why Study the History of Digital Media and How.pdf,"How has the meaning of the word ""analog"" evolved since the 1950s, and what does this evolution suggest about its relationship with the term ""digital""?","The text argues against the idea of ""dematerialization"" in digital culture. What is its counterargument?","What is the central argument of the ""newness ideology,"" and why do the authors consider it a fallacy?",Gabriele Balbi,2018,21,Newness Ideology (Balbi); Myth of the Digital (Balbi)
The Myth of Total Cinema.pdf,What is the author’s primary argument regarding the historical causality of cinema's invention?,"What key technical elements were required for photographic cinema, and did their invention precede the idea of cinema?","What key technical elements were required for photographic cinema, and did their invention precede the idea of cinema?",André Bazin,1967,6,Myth of Total Cinema (Bazin); Integral Realism (Bazin)
Introduction Worship at the Altar of Convergence.pdf,What are the three core concepts that the introduction identifies as central to its analysis of media change?,"How does the ""convergence paradigm"" described in the text differ from the earlier ""digital revolution paradigm"" of the 1990s?",What is the difference between top-down corporate convergence and bottom-up grassroots convergence?,Henry Jenkins,2006,24,Convergence Culture (Jenkins); Black Box Fallacy (Jenkins)
